,pde,iter,success_rate,run_time,run_time_std,train_loss,train_loss_std,mse,mse_std,mxe,mxe_std,l2rel,l2rel_std,crmse,crmse_std,frmse_low,frmse_low_std,frmse_mid,frmse_mid_std,frmse_high,frmse_high_std
0,Burgers1D,20000,1.0,2468.589117,0.0,2.707940075197257e-05,0.0,6.281345350451939e-05,0.0,0.08705109357833862,0.0,0.013020664967167172,0.0,3.216871560408188e-05,0.0,1.3533698741172016e-05,0.0,1.7699863120936597e-06,0.0,5.393675959124906e-05,0.0
1,Poisson2D_ManyArea,20000,1.0,1177.002364,0.0,0.0871843472123146,0.0,1.0213990211486816,0.0,2.8094065189361572,0.0,0.389328271150589,0.0,0.35061943531036377,0.0,1581.7767211218095,0.0,3.2667769006377707,0.0,0.6665228141809062,0.0
2,Heat2D_Multiscale,20000,1.0,9082.976992,0.0,0.00018193843425251544,0.0,0.0005678438465110958,0.0,0.08200767636299133,0.0,0.1351551115512848,0.0,0.021232951432466507,0.0,2.7704662231393247,0.0,0.00018555888052985804,0.0,0.00010222245933843492,0.0
3,Heat2D_ComplexGeometry,20000,1.0,9812.555334,0.0,0.005240661092102528,0.0,0.0008545336220746525,0.0,0.9016512122470886,0.0,0.02396476363464556,0.0,0.0009222445360666334,0.0,,,,,,
4,Heat2D_LongTime,20000,,,,,,,,,,,,,,,,,,,
5,NS2D_BackStep,20000,1.0,2116.511135,0.0,7.589482993353158e-05,0.0,0.0009162661735899746,0.0,0.20986288785934448,0.0,0.13693149387836456,0.0,0.0038341861218214035,0.0,,,,,,
6,NS2D_LongTime,20000,,,,,,,,,,,,,,,,,,,
7,Wave2D_LongTime,20000,,,,,,,,,,,,,,,,,,,
8,KuramotoSivashinskyEquation,20000,1.0,3335.722105,0.0,0.05608252435922623,0.0,1.0989431142807007,0.0,3.4072115421295166,0.0,0.982568621635437,0.0,0.05836464837193489,0.0,21.748527873230184,0.0,0.07991881802143148,0.0,1.094849127111535,0.0
9,GrayScottEquation,20000,,,,,,,,,,,,,,,,,,,
